wv	R2
350	5.882352941
350.44	5.882352941
350.88	11.76470588
351.32	164.7058824
351.75	164.7058824
352.19	429.4117647
352.63	470.5882353
353.07	74.34640523
353.51	33.79382056
353.95	823.5294118
354.38	500
354.82	823.5294118
355.26	947.0588235
355.7	964.7058824
356.13	51.53343389
356.57	500
357.01	56.47911338
357.45	1870.588235
357.89	209.5004669
358.32	112.4937154
358.76	129.2335116
359.2	42.54344014
359.64	50.53688142
360.07	500
360.51	19.15572054
360.95	60.37780966
361.38	25.22368171
361.82	73.63415452
362.26	168.9254133
362.69	500
363.13	20.64125871
363.57	20.76744676
364	59.19854281
364.44	125.6479603
364.88	31.65070099
365.31	36.96726625
365.75	20.44192851
366.19	31.72419065
366.62	42.34645512
367.06	33.16316665
367.5	30.73250025
367.93	27.47095927
368.37	34.64234856
368.8	30.8066316
369.24	26.51192229
369.67	25.75063017
370.11	49.38652108
370.55	26.18149824
370.98	38.90361581
371.42	53.33278563
371.85	35.30271758
372.29	30.71651546
372.72	31.99266455
373.16	36.95726326
373.59	34.09697212
374.03	36.86225734
374.46	42.10758377
374.9	43.00032578
375.33	45.56919855
375.77	57.07740613
376.2	45.60944338
376.64	39.78004336
377.07	41.98497581
377.51	49.46545973
377.94	48.15309962
378.38	42.4506699
378.81	45.33611151
379.24	36.8931135
379.68	42.37818395
380.11	39.93561121
380.55	39.33239963
380.98	43.28706535
381.42	40.65734894
381.85	38.0162105
382.28	42.11065202
382.72	48.79497624
383.15	43.81327694
383.58	35.9305727
384.02	39.2288443
384.45	43.87629196
384.88	35.55697641
385.32	40.17342693
385.75	39.9971128
386.18	41.70269491
386.62	38.88072844
387.05	42.86982108
387.48	40.96480757
387.92	46.7019317
388.35	52.88346732
388.78	51.56288018
389.22	48.0587175
389.65	43.65210236
390.08	49.25238252
390.51	43.45701598
390.95	46.24052418
391.38	45.03512222
391.81	48.95009388
392.24	53.97148141
392.67	48.43933497
393.11	45.29352654
393.54	52.88724685
393.97	52.35832043
394.4	52.36462777
394.83	50.04707134
395.27	50.5245958
395.7	57.27179015
396.13	54.48695444
396.56	54.02023248
396.99	52.05253794
397.42	50.96132684
397.86	53.82874342
398.29	52.50337935
398.72	57.20652074
399.15	52.51184243
399.58	52.40223692
400.01	50.64153795
400.44	51.72072373
400.87	50.19031665
401.31	49.93317004
401.74	49.78368303
402.17	52.84413373
402.6	53.09894461
403.03	49.6687188
403.46	47.94908189
403.89	48.18762367
404.32	46.21525491
404.75	49.95709875
405.18	45.73124471
405.61	47.83523817
406.04	46.65286345
406.47	44.83819947
406.9	45.37055786
407.33	46.6021697
407.76	48.41470409
408.19	44.67688484
408.62	45.10708067
409.05	43.13211771
409.48	42.34623445
409.91	41.74648031
410.34	41.44635382
410.77	39.98201348
411.2	39.80057454
411.63	38.53723534
412.05	37.1608477
412.48	37.24899598
412.91	36.60826865
413.34	36.99574255
413.77	38.16679331
414.2	35.45338741
414.63	36.50902666
415.06	35.80624335
415.49	32.995323
415.91	33.86208659
416.34	33.32547831
416.77	32.90078281
417.2	32.20045847
417.63	32.01506015
418.06	32.20951419
418.48	31.10783119
418.91	29.56205621
419.34	31.16931648
419.77	29.81340265
420.2	29.26494902
420.62	28.44186604
421.05	27.68243743
421.48	28.84676105
421.91	29.47532587
422.34	26.72420429
422.76	27.74890154
423.19	28.30203743
423.62	27.12715185
424.04	25.65190862
424.47	26.5908761
424.9	26.66467466
425.33	25.66539436
425.75	26.66288666
426.18	26.30841849
426.61	26.93845783
427.03	25.22416123
427.46	25.35988958
427.89	25.52233772
428.31	25.78523347
428.74	25.62217013
429.17	24.5828501
429.59	24.53516269
430.02	25.61849938
430.45	24.56712541
430.87	24.93870912
431.3	25.21847641
431.72	25.32723393
432.15	26.13603107
432.58	25.17697623
433	25.31063193
433.43	25.25147917
433.85	26.17981274
434.28	26.22973459
434.7	25.61963969
435.13	25.87686443
435.56	25.53178632
435.98	25.8832745
436.41	25.84044689
436.83	25.93095417
437.26	25.38840125
437.68	25.60067062
438.11	24.74102849
438.53	25.51044433
438.96	26.51471293
439.38	26.79304366
439.81	25.87790332
440.23	26.81581943
440.66	26.70994524
441.08	26.89792508
441.51	26.45164098
441.93	27.62110623
442.35	27.00018204
442.78	29.34475635
443.2	27.65228137
443.63	28.04887336
444.05	28.73483702
444.47	29.46968911
444.9	29.34925968
445.32	27.63687301
445.75	27.70042464
446.17	27.4405742
446.59	27.78626402
447.02	27.8556818
447.44	28.19897987
447.86	29.7802379
448.29	29.62447586
448.71	29.64144221
449.13	29.47376663
449.56	29.10641769
449.98	29.24097241
450.4	28.3517782
450.83	30.48719948
451.25	30.51964049
451.67	29.75152572
452.1	30.43497563
452.52	31.82341435
452.94	31.40430273
453.36	30.94111549
453.79	31.53594771
454.21	31.54665701
454.63	31.66848733
455.05	32.15990737
455.48	32.14778297
455.9	32.23445155
456.32	33.21851048
456.74	32.27842852
457.16	33.46163445
457.59	33.3851901
458.01	34.05208741
458.43	34.00569943
458.85	34.27733408
459.27	34.41419678
459.69	33.73902519
460.12	35.10654249
460.54	33.26493335
460.96	34.55087973
461.38	36.2221945
461.8	36.67712437
462.22	34.76606655
462.64	35.98934194
463.06	36.85268806
463.49	37.10284141
463.91	37.26001984
464.33	37.69159755
464.75	38.01798095
465.17	35.76191948
465.59	38.31247481
466.01	38.53081893
466.43	38.90150445
466.85	40.87079613
467.27	40.78605691
467.69	40.6716843
468.11	40.07326168
468.53	41.28392248
468.95	41.27935398
469.37	41.28717163
469.79	40.45828112
470.21	40.1906202
470.63	42.80040089
471.05	42.34717766
471.47	45.47108086
471.89	44.47843045
472.31	44.27619656
472.73	44.08413292
473.15	45.6319706
473.57	44.52581468
