wv	R1
350	0
350.44	0
350.88	0
351.32	0
351.75	0
352.19	0
352.63	0
353.07	7.352941176
353.51	3.342245989
353.95	52.94117647
354.38	36.76470588
354.82	52.94117647
355.26	52.94117647
355.7	52.94117647
356.13	2.828054299
356.57	36.76470588
357.01	1.598465473
357.45	58.82352941
357.89	5.8356676
358.32	14.768728
358.76	17.45395128
359.2	4.682767416
359.64	5.485527544
360.07	228.7581699
360.51	4.362586459
360.95	14.24756895
361.38	7.456056856
361.82	20.2153511
362.26	46.37639369
362.69	500
363.13	5.221183396
363.57	5.956145899
364	15.13446909
364.44	31.83457291
364.88	8.54413012
365.31	9.824177605
365.75	4.700276205
366.19	6.569391889
366.62	10.60220526
367.06	9.160962215
367.5	8.741406753
367.93	8.294802637
368.37	13.35031219
368.8	12.37446198
369.24	11.64134956
369.67	10.06602869
370.11	18.90826191
370.55	12.06636501
370.98	18.93461247
371.42	27.63628729
371.85	19.77984176
372.29	17.04711735
372.72	19.06318083
373.16	21.5664268
373.59	19.04333162
374.03	18.70549215
374.46	20.35999585
374.9	20.89568953
375.33	20.57025615
375.77	22.74766116
376.2	16.41216959
376.64	13.81350545
377.07	16.36108989
377.51	19.23188154
377.94	16.85752354
378.38	14.32164315
378.81	15.37633891
379.24	11.57273649
379.68	13.8727993
380.11	12.11738821
380.55	12.24712107
380.98	14.96405908
381.42	15.22438856
381.85	15.09539559
382.28	16.95148176
382.72	19.5928677
383.15	18.21123577
383.58	15.05439005
384.02	16.21426999
384.45	17.6498983
384.88	14.28469939
385.32	15.839557
385.75	15.64422184
386.18	16.63127421
386.62	15.83221364
387.05	17.3077534
387.48	16.86027662
387.92	19.32406667
388.35	21.62987432
388.78	20.97019809
389.22	19.08053681
389.65	17.49332081
390.08	19.70369153
390.51	17.33667949
390.95	18.96387926
391.38	18.6393542
391.81	20.26127435
392.24	22.50015762
392.67	20.38640793
393.11	19.26373478
393.54	22.42908658
393.97	22.25937949
394.4	22.49974064
394.83	21.65494861
395.27	22.11662635
395.7	24.82704491
396.13	23.95026945
396.56	23.99519031
396.99	23.16812354
397.42	23.39979322
397.86	25.26359725
398.29	24.77875994
398.72	27.92243248
399.15	25.97330381
399.58	26.20562063
400.01	25.83318406
400.44	26.82297819
400.87	26.58704734
401.31	26.93225264
401.74	27.0288221
402.17	29.16094828
402.6	29.76029603
403.03	28.29758791
403.46	27.61158424
403.89	28.12506246
404.32	27.26601346
404.75	29.62315462
405.18	27.43779849
405.61	29.20542338
406.04	28.51340692
406.47	27.78191097
406.9	28.63226951
407.33	29.72562437
407.76	31.11395889
408.19	28.99061033
408.62	29.6154305
409.05	28.84261813
409.48	28.63924557
409.91	28.47198103
410.34	28.83082072
410.77	28.15988583
411.2	28.48124153
411.63	27.91428292
412.05	27.36712384
412.48	27.71674935
412.91	27.63659317
413.34	28.28008336
413.77	29.42944499
414.2	27.71546148
414.63	28.66950825
415.06	28.24972473
415.49	25.99604797
415.91	26.8763051
416.34	26.84331275
416.77	26.71502488
417.2	26.48320985
417.63	26.54803772
418.06	26.91906259
418.48	26.42696656
418.91	25.51962423
419.34	27.22589919
419.77	26.25321247
420.2	26.02627596
420.62	25.34778437
421.05	25.14198378
421.48	26.32079092
421.91	27.31114584
422.34	25.23850436
422.76	26.71635714
423.19	27.73135433
423.62	26.6846254
424.04	25.6887932
424.47	26.75606205
424.9	27.0899958
425.33	26.32463242
425.75	27.31470138
426.18	27.22244753
426.61	28.14564551
427.03	26.62878284
427.46	27.04807097
427.89	27.6843316
428.31	28.15884978
428.74	28.36120973
429.17	27.596848
429.59	27.72816279
430.02	29.18045414
430.45	28.2508423
430.87	29.05096049
431.3	29.50108583
431.72	30.22963126
432.15	31.44371724
432.58	30.97616141
433	31.71938306
433.43	31.92969463
433.85	33.27974811
434.28	33.79362859
434.7	33.24531818
435.13	33.9251925
435.56	33.77676508
435.98	34.40371489
436.41	34.61513115
436.83	34.99714427
437.26	34.56960421
437.68	34.99563283
438.11	34.04670984
438.53	35.56755962
438.96	37.04674769
439.38	37.52547654
439.81	35.86669844
440.23	36.85955945
440.66	36.78413708
441.08	37.0684078
441.51	36.35012753
441.93	37.7773175
442.35	36.40299396
442.78	39.21441511
443.2	36.62620379
443.63	36.62823141
444.05	37.04825369
444.47	37.28516098
444.9	36.70339305
445.32	34.10546602
445.75	33.38344812
446.17	32.27837882
446.59	32.15744907
447.02	31.69402988
447.44	31.43307276
447.86	32.34046089
448.29	31.39260779
448.71	30.37131662
449.13	29.33513824
449.56	28.14577538
449.98	27.34525183
450.4	25.61104273
450.83	26.65119629
451.25	25.72750263
451.67	24.18286408
452.1	23.69281046
452.52	23.82811996
452.94	22.6870382
453.36	21.57375531
453.79	21.20358782
454.21	20.40161492
454.63	19.8992298
455.05	19.35272702
455.48	18.47234043
455.9	17.81344796
456.32	17.67849494
456.74	16.68394017
457.16	16.72789243
457.59	16.14863627
458.01	15.92219789
458.43	15.40193307
458.85	15.15370932
459.27	14.82291348
459.69	14.02972925
460.12	14.13895653
460.54	13.08682444
460.96	13.18496407
461.38	13.48570972
461.8	13.16622308
462.22	12.19092785
462.64	12.34130286
463.06	12.38461927
463.49	12.15781354
463.91	11.94299694
464.33	11.83883543
464.75	11.75509672
465.17	10.87557521
465.59	11.45504822
466.01	11.32940555
466.43	11.27302089
466.85	11.71291866
467.27	11.53558705
467.69	11.3849507
468.11	11.1003832
468.53	11.37978808
468.95	11.31892707
469.37	11.22433013
469.79	10.96712341
470.21	10.9044447
470.63	11.63431355
471.05	11.49602308
471.47	12.30751106
471.89	12.0030018
472.31	11.92132205
472.73	11.8676104
473.15	12.22099862
473.57	11.92140539
473.99	12.21273268
474.41	12.39000719
474.83	12.88735255
475.24	12.55029898
475.66	12.7716972
476.08	12.66980914
