wv	10L	12L
539.77	3.2643551473	3.4938978741
540.18	3.4887933087	3.5385613976
540.59	3.3699480399	3.4779206541
540.99	3.502756851	3.4141647534
541.4	3.4570771765	3.2526090114
541.81	3.3397058652	3.5735075191
542.22	3.4638603904	3.5295411463
542.63	3.4067586249	3.6233875002
543.03	3.6630560645	3.8979580416
543.44	3.6131774708	3.8453836945
543.85	3.4999543946	3.7143708171
544.26	3.3754551843	3.451720295
544.66	3.4241188547	3.6593544998
545.07	3.4937234377	3.9106383936
545.48	3.687032806	3.8220489
545.89	3.7708525591	3.7845767966
546.29	3.5989406565	3.6877597602
546.7	3.5926017419	3.7587064917
547.11	3.4572715003	3.8140501433
547.51	3.4784970364	3.7613357122
547.92	3.5017071072	3.7845097036
548.33	3.6049991867	3.9914466193
548.73	3.4742910829	3.9302631028
549.14	3.398819473	3.674962116
549.55	3.5529260329	3.7772205872
549.95	3.6759288109	3.7079823645
550.36	3.5737389003	3.7228146069
550.77	3.3574641393	3.8356819677
551.17	3.6205857459	3.8266206957
551.58	3.6214812465	3.546890281
551.98	3.6166256127	3.7497116995
552.39	3.6040111787	3.7687851389
552.8	3.4201645901	3.8567290831
553.2	3.6627669116	3.8344138304
553.61	3.5604995484	3.5622799094
554.01	3.8660480398	3.7847977623
554.42	3.5889858213	3.7840562457
554.83	3.3031225467	3.7684631102
555.23	3.4559443535	3.7119810706
555.64	3.2632895139	3.7291279428
556.04	3.4287301669	3.8805493824
556.45	3.575753042	4.0969429476
556.85	3.6259018912	3.8144706653
557.26	3.579333377	3.7380219588
557.66	3.5620935552	3.6836473837
558.07	3.4984343574	3.6334158881
558.47	3.540405877	3.6653460672
558.88	3.663812683	3.7650444893
559.28	3.7044823795	3.6891585477
559.69	3.516893869	3.7046682661
560.09	3.4654773954	3.8628698941
560.5	3.607464554	3.5522023609
560.9	3.6664397926	3.6985208735
561.31	3.7505797417	3.6591282445
561.71	3.7702732586	3.7508355573
562.12	3.6127755525	3.7801323806
562.52	3.6097427203	3.5761082714
562.92	3.5592053649	3.7059570151
563.33	3.4213426004	3.7167316494
563.73	3.4112458655	3.7128299043
564.14	3.3136158006	3.8243467763
564.54	3.3851683707	3.8316802529
564.94	3.717201474	3.7370479433
565.35	3.4618789758	3.8595728776
565.75	3.4153802968	3.6717185769
566.16	3.7313564327	3.662378336
566.56	3.7358097552	3.9299352791
566.96	3.5609273763	3.8865821367
567.37	3.421007963	3.7725448605
567.77	3.7233165925	3.8524477422
568.17	3.7767990291	4.0022858588
568.58	3.6342147863	3.9587170633
568.98	3.4104892729	3.839672545
569.38	3.3377974159	3.785537862
569.79	3.4916727729	3.7340503484
570.19	3.9544902325	3.7515496625
570.59	3.9164072668	3.7430383846
571	3.6318842735	3.7418839017
571.4	3.6480858423	3.8877395794
571.8	3.6003078857	3.9164971315
572.2	3.5736827018	3.9341387951
572.61	3.7369814346	3.7050611661
573.01	3.8127784528	3.9437685841
573.41	3.4851334143	3.9059338012
573.81	3.6666202221	3.7552882049
574.22	3.7284689378	3.8227385761
574.62	3.7297544699	3.8922723716
575.02	3.6732260647	3.9729790129
575.42	3.8065687035	3.6926133028
575.82	3.674195228	3.7608380042
576.23	3.2545780776	3.8531857447
576.63	3.6195266417	3.6752820814
577.03	3.5929096596	3.8813155683
577.43	3.5198900157	3.8891790438
577.83	3.5262930075	3.7503759987
578.23	3.4589049897	3.7896916452
578.64	3.5354088224	3.6931949674
579.04	3.676884286	3.7977453166
579.44	3.5465568593	3.6248693668
579.84	3.3920928972	3.7745265705
580.24	3.7123658849	3.8266374405
580.64	3.5016705612	3.6717964334
581.04	3.5086509529	3.7922099632
581.45	3.6050532341	3.7168410761
581.85	3.5886218222	3.7845173676
582.25	3.5010119067	3.9289180325
582.65	3.5186204457	3.7158515906
583.05	3.7145328848	3.6810799973
583.45	3.5825400482	3.7945657801
583.85	3.4656482679	3.6421357102
584.25	3.4128197074	3.7608555576
584.65	3.588164754	3.739634529
585.05	3.4877670859	3.6621765808
585.45	3.5409615767	3.521501095
585.85	3.7620505545	3.7882861019
586.25	3.6190321857	3.5897883374
586.65	3.5514277551	3.5830308807
587.05	3.4585578862	3.6034968366
587.45	3.4679799871	3.3534380734
587.85	3.5013421902	3.5186069809
588.25	3.6290531972	3.4644354718
588.65	3.5581405273	3.6029480058
589.05	3.4852792925	3.2724443338
589.45	3.551358363	3.3862385933
589.85	3.5337029325	3.3356134099
590.25	3.6765456721	3.3306439108
590.65	3.4462053625	3.358908071
591.05	3.3904809772	3.108388151
591.45	3.421066283	3.1580066122
591.85	3.4575592433	3.0906820436
592.25	3.5326035294	3.1352798997
592.65	3.4112752669	2.9342447429
593.04	3.3752140473	2.7651680073
593.44	3.4838886555	2.6861717993
593.84	3.5972163574	2.5247556768
594.24	3.4600871784	2.4921763797
594.64	3.5437884969	2.5274632019
595.04	3.5100755205	2.4585384511
595.44	3.2137903454	2.4276616855
595.84	3.3813935265	2.4697622689
596.23	3.5168116876	2.2737136105
596.63	3.2657607344	2.0299167143
597.03	3.2554625975	1.8648813683
597.43	3.3784823359	1.9062098807
597.83	3.385821156	1.7560836452
598.22	3.3522315487	1.6695419397
598.62	3.3517742198	1.7092038937
599.02	3.1995923722	1.6134065342
599.42	3.2607383364	1.9916453492
599.82	3.3692450764	2.1361546355
600.21	3.0875990218	2.0266287649
600.61	3.2228554344	2.0072023634
601.01	3.2021233376	1.9902568526
601.41	2.993620281	1.9311680438
601.8	3.086459184	2.2347881317
602.2	3.4411686369	2.5153147985
602.6	3.1915961402	2.4982500964
603	3.0209927432	2.4256220349
603.39	3.1187599688	2.5087177016
603.79	2.9820589141	2.6763933268
604.19	2.9375214348	2.7014868164
604.58	2.9747288659	2.8336787485
604.98	2.9703953459	2.91125208
605.38	2.9309966138	3.0344271095
605.77	2.9384390903	2.9841905789
606.17	2.9868582434	2.9490022431
606.57	3.0431601539	2.9215443076
606.96	2.9153338711	2.9762136552
607.36	3.2425989257	3.1584776783
607.76	2.9637722816	3.276182099
608.15	2.9628216449	3.4805658598
608.55	2.9867364	3.5391985722
608.95	2.8294190273	3.4194909031
609.34	2.9136230345	3.28740892
609.74	2.8948113025	3.3162803115
610.13	3.0937391811	3.4553852882
610.53	2.774098694	3.3644476182
610.93	2.7408211315	3.5282137676
611.32	2.7900123542	3.5245100817
611.72	2.7494558706	3.4525095633
612.11	2.7615494667	3.6370406925
612.51	2.7768072126	3.4546590148
612.9	2.8037730126	3.6057305968
613.3	2.6321150634	3.8052148836
613.69	2.743267176	3.7843531022
614.09	2.7849366081	3.9270175233
614.48	2.6868349432	3.6638310421
614.88	2.6517870781	3.3183137315
615.27	2.7048852948	3.6798799095
615.67	2.661234455	3.7564091354
616.06	2.4620847241	3.5838280427
616.46	2.5950289778	3.6826836085
616.85	2.5428900892	3.7540253106
617.25	2.5695236013	3.7371096652
617.64	2.6524755562	3.7359183946
618.04	2.4706751393	3.855229081
618.43	2.5663645121	3.7302182704
618.83	2.435428075	3.7777484759
619.22	2.4838670401	3.8042681779
619.62	2.3806892161	3.8622783612
620.01	2.583853703	3.6899053063
620.4	2.6647617027	3.6105586274
620.8	2.4057436741	3.7808837408
621.19	2.5958542697	3.6900910814
621.59	2.5618593113	3.6988347246
621.98	2.5999440687	3.6920859397
622.37	2.5867765035	3.5759706542
622.77	2.6453374434	3.4462211437
623.16	2.5431908298	3.7588795711
623.55	2.3907889608	3.8379145967
623.95	2.732088802	3.4740076247
624.34	2.5715288379	3.6282570599
624.73	2.3839346237	3.7431922846
625.13	2.5338525297	3.6022807554
625.52	2.6066748852	3.7294568498
625.91	2.6440445706	3.6684099518
626.31	2.5726607871	3.7155576272
626.7	2.5736592119	3.7518919751
627.09	2.5441231292	3.6325743626
627.49	2.5354943237	3.5610163655
627.88	2.6056273423	3.6663234946
628.27	2.8660428706	3.7274197652
628.66	2.7279999087	3.5516568533
629.06	2.52342319	3.5616315882
629.45	2.7042625503	3.6703362239
629.84	2.7923859358	3.7125727744
630.23	3.0201213825	3.8511231133
630.63	2.9623768643	3.9929580251
631.02	2.874615879	3.9520009347
631.41	2.7438817271	3.8758822799
631.8	2.6964445948	3.6322636111
632.19	2.8878647691	3.6847241351
632.59	2.8467335023	3.6992891633
632.98	2.9707972371	3.7385381344
633.37	2.757552845	3.6353681256
633.76	2.7130129519	3.3685534382
634.15	2.8362135254	3.5869521227
634.54	3.0039800615	3.7363662611
634.94	3.0838698268	3.7113282576
635.33	2.9486995516	3.8047473842
635.72	2.9158856579	3.7845469192
636.11	2.8514546257	3.782853732
636.5	2.9082530906	3.5793256009
636.89	2.9698981058	3.455617646
637.28	3.0727029588	3.7426462453
637.67	2.8585583116	3.703002275
638.06	2.8048428109	3.5291815958
638.45	2.9211003066	3.4650901363
638.85	2.9079641678	3.3956020199
639.24	3.0521270048	3.5243258146
639.63	2.9712301527	3.6238679233
640.02	2.8727910866	3.7048985091
640.41	2.7948063626	3.6826826097
640.8	2.9263712043	3.6548622835
641.19	3.086052545	3.8273346244
641.58	3.2147657883	3.8853813182
641.97	3.2502471351	3.7931998194
642.36	3.1440812898	3.6607260597
642.75	2.9865485208	3.548837215
643.14	2.9937426002	3.4669859783
643.53	3.0470789373	3.525798631
643.92	3.0839380066	3.5350326664
644.31	3.0363287312	3.420666221
644.7	2.9393249603	3.4758717167
645.09	2.876499609	3.5163246091
645.48	2.7725334434	3.5661473916
645.87	2.8953440937	3.5148946732
646.26	3.041849213	3.4121540224
646.65	3.1461994768	3.3270083392
647.03	3.0731316767	3.4189215202
647.42	3.1186197985	3.3716273123
647.81	3.0945912359	3.3965990301
648.2	3.0821656004	3.5961722699
648.59	3.1677536614	3.499456707
648.98	3.0280450469	3.3782214486
649.37	2.9558204898	3.2412071726
649.76	2.9800315343	3.388784895
650.15	2.9217316521	3.3435803543
650.53	2.7618384865	3.3749511087
650.92	2.9712743644	3.3605746855
651.31	3.0032611369	3.2536729496
651.7	2.9322703055	3.1464626669
652.09	3.0382651072	3.2219242568
652.48	2.8980107975	3.2047822107
652.86	2.7180548268	3.315271932
653.25	2.8229948219	3.3052943041
653.64	3.0253431035	2.9869912964
654.03	3.1094648212	3.0296369656
654.42	3.2306533619	3.1302670296
654.8	3.098524786	3.2694720122
655.19	3.1999099139	2.9531739726
655.58	3.1662174664	2.88956182
655.97	2.8246975862	3.0456961398
656.36	3.033495996	3.0217967968
656.74	2.9672422677	2.8975098421
657.13	2.9619152339	2.8030287885
657.52	3.0738883517	2.9012290157
657.9	2.8937875602	2.8161788368
658.29	3.0009814741	2.8241791365
658.68	2.9403153993	2.9477153446
659.07	2.9811109289	3.0415231535
659.45	3.0077169604	2.976933457
659.84	3.0229389953	2.6532300612
660.23	2.9427651539	2.6434152684
660.61	2.5847593967	2.7015216842
661	2.7231207902	2.4356463814
661.39	2.8865705009	2.2752497088
661.77	2.6956585211	2.4306565911
662.16	2.7509872822	2.3272410749
662.55	2.8664358682	2.3108761941
662.93	2.8567338214	2.2663365701
663.32	2.9238612618	2.2593187431
663.7	2.7982917376	2.2218889629
664.09	2.7145059022	1.9708459203
664.48	2.7338179318	1.9925504735
664.86	2.8094563573	2.0657829243
665.25	2.9712101267	1.8958849298
665.63	2.8129520681	1.6849871839
666.02	2.5466733881	1.677870432
666.41	2.9034857774	1.6064800615
666.79	3.0165462995	1.6393127475
667.18	2.8151460846	1.4773674427
667.56	2.7940078431	1.6109803378
667.95	2.759883685	1.601868465
668.33	2.7017364216	1.2818058488
668.72	2.6956355212	1.2877467181
669.1	2.7755667369	1.2715226719
669.49	2.6476152188	1.2771614469
669.87	2.6891086523	1.1128357121
670.26	2.502503463	1.0251773338
670.64	2.6383210885	1.1528815588
671.03	2.5031033403	0.9357415172
671.41	2.482362045	0.6950697118
671.8	2.7143688405	0.7230542131
672.18	2.6096039535	0.64517116
672.57	2.5684517725	0.6422169964
672.95	2.3169083238	0.6592083965
673.34	2.3322015297	0.6122029015
673.72	2.4910823369	0.5870079339
674.1	2.4943738559	0.7576417954
674.49	2.3047865135	0.5905636673
674.87	2.3645487669	0.3342029607
675.26	2.3855119705	0.4328135225
675.64	2.3718426112	0.2100967165
676.02	2.5535693923	0.261277832
676.41	2.4318634035	0.3131000348
676.79	2.4058025292	0.2453341323
677.17	2.4284649636	0.303850899
677.56	2.5203290861	0.2499817761
677.94	2.3938204978	0.3626157492
678.33	2.2683820515	0.232005802
678.71	2.5155098422	0.1079396479
679.09	2.2017282815	0.1111309589
679.48	2.0060041001	0.0658166147
679.86	2.2295117435	0.0947623623
680.24	2.275234295	0.0643872878
680.62	2.2778651747	0.1544646771
681.01	2.1735118029	0.1257259459
681.39	2.0244442274	0.261549891
681.77	2.0189367966	0.2557086218
682.16	2.1088466176	0.1871549141
682.54	2.1396649206	0.2678998296
682.92	2.0763084955	0.3192958143
683.3	1.9321355828	0.1609374063
683.69	2.0877578206	0.3109568113
684.07	1.9882716404	0.4297525841
684.45	1.8034617532	0.0935821518
684.83	2.0294668991	0.5344821916
685.21	1.900173919	0.4424847607
685.6	1.6425685086	0.4101928469
685.98	1.7749163844	0.5652069055
686.36	1.9037702471	0.5276459995
686.74	1.7314795971	0.4830142901
687.12	1.5577624256	0.3778865221
687.51	1.6381452314	0.4829004687
687.89	1.7242956568	0.4456961953
688.27	1.6014232976	0.6409777296
688.65	1.5625709743	0.8353395412
689.03	1.4187239414	0.7608506701
689.41	1.4022172343	0.4330276311
689.79	1.3603560664	0.6196924027
690.18	1.4454405796	0.610827047
690.56	1.5419893068	0.7192570059
690.94	1.5676101527	0.6738156079
691.32	1.5398946123	0.745799381
691.7	1.4737680883	0.8591734544
692.08	1.4514852276	0.6588085965
692.46	1.3463125671	0.9690259502
692.84	1.3368313939	0.7722084161
693.22	1.5903920884	0.7363013937
693.6	1.3763777546	0.8573844853
693.98	1.2591548979	0.8582216391
694.36	1.1813819578	0.8349328215
694.74	1.1422618001	0.8119053158
695.12	1.3720339925	0.8049136941
695.5	1.4254659894	0.8710236189
695.88	1.4040267726	1.0099738119
696.26	1.1577622221	1.143592522
696.64	1.0281133628	1.2944981956
697.02	0.9907558237	1.2366100466
697.4	1.342818973	1.1607875012
697.78	1.0360859392	1.1354030529
698.16	0.8917556222	1.1247611524
698.54	0.7655240517	1.0754259105
698.92	0.737407775	0.9572238766
699.3	1.001887418	1.0315509981
699.68	1.0203181691	1.1410541697
700.06	1.1086171108	1.386513766
700.44	0.8557392005	1.2147334395
700.82	0.9066309374	1.2728562421
701.2	0.7486831765	1.4154209307
701.58	0.7947747171	1.1950209775
701.96	0.8590160572	1.4273763479
702.33	0.6304140784	1.3336737883
702.71	0.8032373456	1.4248406164
703.09	0.527070059	1.2424330797
703.47	0.4398470328	1.2590715406
703.85	0.5105346544	1.3059838256
704.23	0.4438267425	1.4682554382
704.61	0.6578978608	1.5193707116
704.98	0.4241642953	1.2485074051
705.36	0.4434602331	1.4585644726
705.74	0.5184786055	1.3598360302
706.12	0.7317171284	1.2988042348
706.5	0.6630593785	1.4222915485
706.88	0.3977558811	1.4551362981
707.25	0.2838373118	1.4054647913
707.63	0.2486321415	1.3172159308
708.01	0.3754172511	1.3649681576
708.39	0.3769299339	1.7185449527
708.76	0.4517746297	1.2592288885
709.14	0.1213702873	1.2134462762
709.52	0.0966769565	1.2460014126
709.9	0.1162025838	1.272302348
710.27	0.3422262774	1.692807054
710.65	0.2983448584	1.622686061
711.03	0.2809647949	1.4692440796
711.41	0.1433791793	1.4509039553
711.78	0.0145412999	1.5972059931
712.16	0.3271182549	1.5041714504
712.54	0.0772853075	1.5749492393
712.91	0.0771790184	1.6152652865
713.29	0.0259791981	1.5802700108
713.67	0.0715795014	1.584485948
714.04	0.0247740031	1.5117412962
714.42	0.0749372936	1.5583790697
714.8	0.2022461091	1.5239745973
715.17	0.0755263309	1.4128177286
715.55	0.0533697213	1.3707035354
715.93	-0.0105742107	1.4312194242
716.3	0.0076680556	1.6354111742
716.68	0.0185161845	1.6598436861
717.05	0.0034431345	1.6116518165
717.43	-0.0021210628	1.3399814095
717.81	0.0013255712	1.3648081119
718.18	-0.0007964967	1.4307735076
718.56	0.0005316529	1.4179182662
718.93	0.0712469467	1.504958825
719.31	0.0138287704	1.484997192
719.68	-0.0005320581	1.380956703
720.06	0.0002662161	1.4146722645
720.43	0	1.5992850255
720.81	0.082197028	1.5548048213
721.19	0.00374556	1.4310714662
721.56	-0.0016087516	1.5221471471
721.94	0.0018819764	1.3649705684
722.31	-0.0024244383	1.4358062604
722.69	0.0027012855	1.653997108
723.06	-0.0027077609	1.5282602636
723.43	0.0024424702	1.4836649825
723.81	-0.002178377	1.5855861917
724.18	0.0016409002	1.4130885925
724.56	-0.0010975992	1.3459309739
724.93	0.0005506528	1.3939774783
725.31	0	1.3988681162
725.68	-0.0005533215	1.448872282
726.06	0.0008310371	1.5221829879
726.43	-0.0011088373	1.3838289129
726.8	0.0011105341	1.3601266009
727.18	-0.0008333061	1.6141139178
727.55	0.0008332135	1.4772875796
727.93	-0.0005567582	1.4066496582
728.3	0.0002790696	1.4550689712
728.67	0	1.3216497562
729.05	0	1.4844770662
729.42	0.0002818284	1.6309407763
729.8	-0.0002828454	1.4198840334
730.17	0	1.3639720407
