wv	R2	R1	R0
455.05	61.9047619	59.30735931	49.20634921
455.48	78.39135654	51.74069628	63.7454982
455.9	64.0399556	45.39400666	56.49278579
456.32	76.61623109	60.66024759	65.8872077
456.74	91.75257732	65.83210604	72.60677467
457.16	74.20178799	56.83269476	49.6807152
457.59	64.72049689	48.32298137	45.34161491
458.01	68.97767333	56.52173913	54.87661575
458.43	70.51428571	50.17142857	60
458.85	88.50574713	62.96296296	68.32694764
459.27	73.27080891	57.0926143	51.69988277
459.69	70.59459459	53.94594595	56.97297297
460.12	69.09294513	61.25419933	60.58230683
460.54	82.75475924	60.58230683	64.61366181
460.96	80.06644518	55.26024363	66.33444075
461.38	77.24810401	64.68039003	64.68039003
461.8	81.49386845	62.09587514	68.78483835
462.22	81.18918919	75.56756757	74.48648649
462.64	83.86041439	66.41221374	72.08287895
463.06	79.6966161	78.52975496	69.66161027
463.49	79.01364113	68.5204617	73.97691501
463.91	72.6647001	64.99508358	67.94493609
464.33	70.54986021	60.67101584	64.77166822
464.75	67.7074041	67.7074041	65.56645852
465.17	75.4893617	64.42553191	70.72340426
465.59	75.57100298	71.00297915	70.40714995
466.01	77.39791073	67.331434	64.8622982
466.43	78.81278539	59.6347032	68.40182648
466.85	80.73316283	60.10230179	62.83034953
467.27	88.54254423	66.13310868	72.36731255
467.69	90.17781541	64.60626588	66.29974598
468.11	97.47064137	80.3071364	75.42908762
468.53	89.87124464	75.45064378	78.88412017
468.95	83.07567128	77.2172498	65.82587469
469.37	74.69186524	76.66392769	72.06244864
469.79	88.67339022	74.24359969	72.69200931
470.21	78.27661115	71.90441709	67.70456191
470.63	79.342723	72.36753856	68.87994634
471.05	82.82899367	79.87332864	67.62843068
471.47	88.27948911	70.69872276	64.23741548
471.89	89.27773641	82.725242	78.85331348
472.31	92.66055046	77.69936486	69.23076923
472.73	100.6807352	79.3056501	72.36215112
473.15	86.70769231	68.12307692	68
473.57	81.47041243	72.50448296	66.2881052
473.99	99.22229423	79.52041478	76.4095917
474.41	86.02894902	77.84770296	74.57520453
474.83	94.12866958	86.00874453	69.89381636
475.24	93.00620417	81.95149464	62.66215454
475.66	78.82754696	79.16903813	69.26579397
476.08	83.5097493	78.38440111	68.57938719
476.5	86.67406996	77.56801777	68.01776791
476.92	84.51816746	73.98630858	68.40442338
477.34	90.55526725	77.58173326	66.16502335
477.76	84.24890617	72.97034516	65.09479825
478.18	90.42821159	85.49118388	75.61712846
478.59	89.55743411	80.30830433	75.63401293
479.01	88.90496864	76.45923782	71.82826821
479.43	94.40963855	78.40963855	77.34939759
479.85	90.66974596	83.64896074	70.99307159
480.27	82.45137947	81.00407056	70.51108096
480.69	87.54098361	85.76112412	68.05620609
481.1	94.18659165	90.34224098	73.83966245
481.52	91.7211329	81.35076253	73.07189542
481.94	90.12451696	74.92486046	74.0661228
482.36	88.50667746	78.14649939	71.26669365
482.78	88.2212495	76.99960207	71.18981297
483.19	88.1305638	85.07842306	74.48071217
483.61	84.86707566	84.70347648	65.72597137
484.03	88.67924528	79.20677705	66.49980747
484.45	85.37821209	76.47484618	68.58487152
484.86	90.84263178	81.68526356	71.60446326
485.28	89.04920459	82.24195339	73.36293008
485.7	93.78081153	88.32006068	78.5362154
486.12	92.98245614	84.24951267	74.97076023
486.53	99.37864078	88.66019417	74.91262136
486.95	84.55431252	77.6975821	67.59292674
487.37	84.1182537	76.8992781	65.48642145
487.78	91.9184565	81.28867856	72.47906807
488.2	86.70003575	86.12799428	68.32320343
488.62	88.86906885	84.08847663	74.45594006
489.03	86.48741813	79.80006894	69.04515684
489.45	91.49384886	82.49560633	73.63796134
489.87	87.53830439	82.90772898	69.08409942
490.28	89.34673367	83.58458961	71.92629816
490.7	88.3820151	77.48605185	70.59402691
491.12	91.23938879	84.58404075	71.34125637
491.53	91.44312394	85.60271647	70.25466893
491.95	91.64138861	84.56353219	71.41894169
492.37	93.89209365	87.17339667	71.56430268
492.78	88.38039598	83.57676079	69.03602726
493.2	89.1823099	83.70983137	69.96500159
493.61	97.34369938	87.6255264	72.20602527
494.03	92.79922154	85.98767434	67.88842037
494.45	90.04203039	83.9637892	70.90203686
494.86	92.42077752	86.34433192	74.25677883
495.28	90.01579779	86.60347551	70.36334913
495.69	93.61365792	84.76130256	70.85045843
496.11	94.13803971	87.89788843	71.1944532
496.52	93.36434109	87.96899225	73.33333333
496.94	91.13656919	84.80554718	73.28911667
497.36	90.19089574	85.25697504	74.91923642
497.77	95.36284252	87.89521229	74.64619091
498.19	97.53314832	86.67900093	76.00986741
498.6	94.04584698	85.82911581	73.14676987
499.02	89.5405952	87.2869113	68.04391794
499.43	89.0065846	85.57114228	74.00515316
499.85	88.10535259	86.46275843	70.65986973
500.26	91.6550765	84.86787204	73.90820584
500.68	93.59450958	89.47669431	73.80611953
501.09	91.02961918	83.18758815	75.00705219
501.51	94.75006981	83.24490366	73.47109746
501.92	93.60352909	84.56024262	71.38130687
502.33	93.62334504	85.57146717	71.19697379
502.75	93.78546339	88.27343961	74.54741962
503.16	97.66081871	87.91423002	78.05625174
503.58	91.17256049	82.77053975	77.5591598
503.99	89.70472955	86.6736347	74.23569375
504.41	90.08182494	81.65137615	71.93156459
504.82	97.11815562	90.14933194	77.73120252
505.23	91.19901112	83.9802225	72.01483313
505.65	95.74136588	87.43183589	76.36977408
506.06	92.17542985	88.13854971	75.42985298
506.48	90.86142322	88.21473159	74.93133583
506.89	92.27194913	89.7774517	71.92467596
507.3	91.94598505	88.76296118	76.6095973
507.72	92.62117193	87.79840849	75.066313
508.13	92.87933094	86.81003584	72.37753883
508.54	93.88770434	85.78535892	79.00971334
508.96	93.07420495	90.34157833	74.65253239
509.37	94.80274037	89.22749823	77.55728798
509.78	89.40609952	89.45196056	75.83123137
