wv	R0	R1	R2
424.47	6.7993569	8.236156053	9.16824389
424.9	6.881646931	8.228624274	8.964435777
425.33	6.882447092	8.068053827	8.664809216
425.75	6.838319406	8.183880412	8.792678907
426.18	7.146257402	8.456309386	8.844755032
426.61	7.314518693	8.597505096	8.54887879
427.03	7.169728222	8.670838456	8.454296882
427.46	7.312854698	8.898297451	8.383028556
427.89	7.147038476	8.959963103	8.353289695
428.31	7.209354934	8.726747525	8.107261559
428.74	7.377035147	8.678159936	8.078957731
429.17	7.327040308	8.57326196	7.995744609
429.59	7.344146055	8.556849621	7.923990656
430.02	7.211310836	8.334557803	7.900279179
430.45	7.216461596	8.206608505	7.548660721
430.87	7.438410344	8.188128405	7.311339486
431.3	7.49262905	8.16030451	7.111991638
431.72	7.361237069	8.00067633	6.955439077
432.15	7.257076292	7.834979804	6.981740064
432.58	7.274983925	7.983790169	6.97590956
433	7.335839045	7.972584568	6.870071486
433.43	7.200768548	7.783001703	6.670936376
433.85	7.019932079	7.618897502	6.506942554
434.28	6.942141734	7.429607901	6.355481869
434.7	6.84287812	7.279211244	6.266694637
435.13	6.923384153	7.251167211	6.028178325
435.56	6.80748291	7.429694216	5.975138838
435.98	6.780505542	7.480776223	5.883620399
436.41	6.542601909	7.376189654	5.687776259
436.83	6.312492629	7.156429779	5.421378867
437.26	6.231083977	7.283236994	5.285445217
437.68	6.120349293	7.244363851	5.271551114
438.11	5.97553665	7.17957221	5.197505198
438.53	5.698680826	7.049535564	5.047330605
438.96	5.502569709	6.992875184	4.937108104
439.38	5.403349503	6.997044556	4.742427454
439.81	5.226136854	6.850126489	4.562226199
440.23	5.140261104	6.815822576	4.414835802
440.66	5.043103969	6.818044422	4.228178993
441.08	4.92835093	6.823778122	4.053907967
441.51	4.923153966	6.983509998	3.926361349
441.93	4.711460021	7.019306937	3.834194441
442.35	4.491260155	7.011805531	3.804264997
442.78	4.463488456	6.940498417	3.667969339
443.2	4.315776137	6.835903756	3.504912406
443.63	4.390722956	6.996608466	3.474894657
444.05	4.501669591	7.28394363	3.39464599
444.47	4.426088029	7.320025555	3.341141659
444.9	4.232056857	7.370786017	3.246616023
445.32	3.978920212	7.361388267	3.189530666
445.75	4.091191981	7.416991494	3.023354843
446.17	4.08700456	7.572819741	2.8846258
446.59	4.061966202	7.568514122	2.774942793
447.02	4.041576588	7.668878263	2.716748847
447.44	3.948386003	7.681713686	2.573284036
447.86	3.938516608	7.667526452	2.525661947
448.29	3.850695424	7.702435813	2.435813035
448.71	3.800767393	7.70599125	2.369403564
449.13	3.801839766	7.715709954	2.247803073
449.56	3.725420093	7.729710404	2.105316921
449.98	3.56056395	7.73460003	2.07893274
450.4	3.574968215	7.741593168	2.009230246
450.83	3.594702962	7.675929519	1.897342527
451.25	3.482675693	7.591817345	1.810120444
451.67	3.398968819	7.639577707	1.672477289
452.1	3.32144211	7.586729784	1.534842579
452.52	3.357782114	7.600911302	1.479423611
452.94	3.205648821	7.568388767	1.466667941
453.36	3.171611755	7.459774796	1.417707613
453.79	3.089605128	7.537433381	1.316865465
